token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
41-0	BOI069	41	[autobus]	autobus	autobus	NOUN	_
42-0	BOR019	42	ah	ah	ah	INTJ	_
42-1	BOR019	42	[okay]	okay	okay	NOUN	_
43-0	BOI069	43	[inve]ce	invece	invece	ADV	_
43-1	BOI069	43	di	di	di	ADP	_
43-2	BOI069	43	un	un	uno	DET	_
43-3	BOI069	43	quarto	quarto	quarto	ADJ	_
43-4	BOI069	43	d'	d'	di	ADP	SpaceAfter=No
43-5	BOI069	43	ora	ora	ora	NOUN	_
43-6	BOI069	43	di	di	di	ADP	_
43-7	BOI069	43	arrivarci	arrivarci	_	_	_
43-7a	_	_	_	arrivar	arrivare	VERB	_
43-7b	_	_	_	ci	ci	PRON	_
43-8	BOI069	43	in	in	in	ADP	_
43-9	BOI069	43	<macchina>	macchina	macchina	NOUN	_
43-10	BOI069	43	ci	ci	ci	PRON	_
43-11	BOI069	43	si	si	si	PRON	_
43-12	BOI069	43	mette	mette	mettere	VERB	_
43-13	BOI069	43	un	un	uno	DET	_
43-14	BOI069	43	quarto	quarto	quarto	ADJ	_
43-15	BOI069	43	d'	d'	di	ADP	SpaceAfter=No
43-16	BOI069	43	ora	ora	ora	NOUN	_
44-0	BOI069	44	per	per	per	ADP	_
44-1	BOI069	44	arrivare	arrivare	arrivare	VERB	_
44-2	BOI069	44	dove	dove	dove	ADV	_
44-3	BOI069	44	andavo	andavo	andavo	ADJ	_
45-0	BOI069	45	però	però	però	ADV	_
45-1	BOI069	45	in	in	in	ADP	_
45-2	BOI069	45	autobus	autobus	autobus	NOUN	_
45-3	BOI069	45	era	era	essere	AUX	_
45-4	BOI069	45	<un'	un'	uno	DET	SpaceAfter=No
45-5	BOI069	45	ORA>	ora	ora	NOUN	Volume=high
45-6	BOI069	45	{P}	{P}	_	_	_
45-7	BOI069	45	perché:	perché	perché	ADV	_
45-8	BOI069	45	tra	tra	tra	ADP	_
45-9	BOI069	45	una	una	uno	DET	_
45-10	BOI069	45	fermata	fermata	fermare	NOUN	_
45-11	BOI069	45	e	e	e	CCONJ	_
45-12	BOI069	45	l'	l'	il	DET	SpaceAfter=No
45-13	BOI069	45	altra	altra	altro	PRON	_
45-14	BOI069	45	c'	c'	ci	PRON	SpaceAfter=No
45-15	BOI069	45	è	è	essere	VERB	_
45-16	BOI069	45	sempre	sempre	sempre	ADV	_
45-17	BOI069	45	{P}	{P}	_	_	_
45-18	BOI069	45	[un	un	uno	DET	_
45-19	BOI069	45	gran	gran	grande	ADJ	_
45-20	BOI069	45	diva]rio	divario	Divario	NOUN	_
46-0	BOR019	46	[giusto]	giusto	giusto	ADJ	_
47-0	BOR019	47	giusto	giusto	giusto	ADJ	_
47-1	BOR019	47	{prende_fiato}	{prende_fiato}	_	_	_
48-0	BOR019	48	e::hm	ehm	ehm	NOUN	_
48-1	BOR019	48	{tossisce}	{tossisce}	_	_	_
48-2	BOR019	48	ma	ma	ma	CCONJ	_
48-3	BOR019	48	{P}	{P}	_	_	_
48-4	BOR019	48	anzola	anzola	anzola	NOUN	_
48-5	BOR019	48	delle'	delle'	_	_	SpaceAfter=No
48-5a	_	_	_	di	di	ADP	_
48-5b	_	_	_	le	il	DET	_
48-5c	_	_	_	'	'	PUNCT	_
48-6	BOR019	48	emilia	emilia	emilio	NOUN	_
48-7	BOR019	48	è	è	essere	AUX	_
48-8	BOR019	48	un	un	uno	DET	_
48-9	BOR019	48	paese	paese	paese	NOUN	_
48-10	BOR019	48	che	che	che	PRON	_
48-11	BOR019	48	è	è	essere	AUX	_
48-12	BOR019	48	grande:?	grande	grande	ADJ	Intonation=rising
48-13	BOR019	48	[°o:°]	o	o	CCONJ	Volume=low
49-0	BOI069	49	no	no	no	ADV	_
49-1	BOI069	49	è	è	essere	AUX	_
49-2	BOI069	49	un	un	uno	DET	_
49-3	BOI069	49	paese	paese	paese	NOUN	_
49-4	BOI069	49	medio	medio	medio	ADJ	_
49-5	BOI069	49	piccolo:	piccolo	piccolo	ADJ	_
49-6	BOI069	49	{P}	{P}	_	_	_
49-7	BOI069	49	se	se	se	SCONJ	_
49-8	BOI069	49	non	non	non	ADV	_
49-9	BOI069	49	ricordo	ricordo	ricordo	NOUN	_
49-10	BOI069	49	male,	male	male	ADJ	Intonation=weakly_rising
49-11	BOI069	49	ha	ha	avere	VERB	_
49-12	BOI069	49	una	una	uno	DET	_
49-13	BOI069	49	mh	mh	mh	ADJ	_
49-14	BOI069	49	{P}	{P}	_	_	_
49-15	BOI069	49	>diecimila	diecimila	diecimila	NUM	_
49-16	BOI069	49	dodicimila<	dodicimila	dodicimila	NUM	_
49-17	BOI069	49	abitanti,	abitanti	abitante	NOUN	Intonation=weakly_rising
50-0	BOI069	50	però::	però	però	ADV	_
50-1	BOI069	50	{P}	{P}	_	_	_
50-2	BOI069	50	a	a	a	ADP	_
50-3	BOI069	50	livello	livello	livello	NOUN	_
50-4	BOI069	50	di	di	di	ADP	_
50-5	BOI069	50	grandezza:	grandezza	grandezza	NOUN	_
50-6	BOI069	50	>diciamo<	diciamo	dicare	VERB	_
50-7	BOI069	50	{P}	{P}	_	_	_
50-8	BOI069	50	sì	sì	sì	ADV	_
50-9	BOI069	50	(s)~	s~	s~	PROPN	Interrupted=Yes
50-10	BOI069	50	siamo	siamo	essere	VERB	_
50-11	BOI069	50	nella	nella	_	_	_
50-11a	_	_	_	in	in	ADP	_
50-11b	_	_	_	la	il	DET	_
50-12	BOI069	50	media	media	media	NOUN	_
50-13	BOI069	50	di	di	di	ADP	_
50-14	BOI069	50	{P}	{P}	_	_	_
50-15	BOI069	50	<un	un	uno	DET	_
50-16	BOI069	50	paese>	paese	paese	NOUN	_
51-0	BOI069	51	e::	e	e	CCONJ	_
51-1	BOI069	51	{P}	{P}	_	_	_
51-2	BOI069	51	scuole	scuole	scuola	NOUN	_
51-3	BOI069	51	elementari,	elementari	elementare	ADJ	Intonation=weakly_rising
51-4	BOI069	51	medie	medie	medio	ADJ	_
51-5	BOI069	51	asilo,	asilo	asilo	NOUN	Intonation=weakly_rising
51-6	BOI069	51	>non	non	non	ADV	_
51-7	BOI069	51	ha<	ha	avere	VERB	_
51-8	BOI069	51	le	le	il	DET	_
51-9	BOI069	51	superiori,	superiori	superiore	ADJ	Intonation=weakly_rising
52-0	BOI069	52	differenza	differenza	differenza	NOUN	_
52-1	BOI069	52	di	di	di	ADP	_
52-2	BOI069	52	altri	altri	altro	DET	_
52-3	BOI069	52	paesi	paesi	paese	NOUN	_
52-4	BOI069	52	>tipo<	tipo	tipo	NOUN	_
52-5	BOI069	52	magari	magari	magari	ADV	_
52-6	BOI069	52	san	san	santo	ADJ	_
52-7	BOI069	52	giovanni	giovanni	giovanni	NOUN	_
52-8	BOI069	52	{P}	{P}	_	_	_
52-9	BOI069	52	che	che	che	PRON	_
52-10	BOI069	52	è	è	essere	AUX	_
52-11	BOI069	52	anche	anche	anche	ADV	_
52-12	BOI069	52	già	già	già	ADV	_
52-13	BOI069	52	{P}	{P}	_	_	_
52-14	BOI069	52	>un	un	uno	DET	_
52-15	BOI069	52	po'<	po'	poco	ADV	_
52-16	BOI069	52	più	più	più	ADV	_
52-17	BOI069	52	fornita	fornita	fornere	VERB	_
52-18	BOI069	52	perché	perché	perché	SCONJ	_
52-19	BOI069	52	ha::	ha	avere	VERB	_
52-20	BOI069	52	anche	anche	anche	ADV	_
52-21	BOI069	52	l'	l'	il	DET	SpaceAfter=No
52-22	BOI069	52	ospedale,	ospedale	ospedale	NOUN	Intonation=weakly_rising
52-23	BOI069	52	mentre	mentre	mentre	SCONJ	_
52-24	BOI069	52	anzola	anzola	anzolare	VERB	_
52-25	BOI069	52	no	no	no	ADV	_
53-0	BOI069	53	c'	c'	ci	PRON	SpaceAfter=No
53-1	BOI069	53	ha	ha	avere	VERB	_
53-2	BOI069	53	solo:	solo	solo	ADV	_
53-3	BOI069	53	un~	un~	un~	PROPN	Interrupted=Yes
53-4	BOI069	53	vari~	vari~	vari~	PROPN	Interrupted=Yes
53-5	BOI069	53	ha	ha	avere	VERB	_
53-6	BOI069	53	vari	vari	vario	DET	_
53-7	BOI069	53	{P}	{P}	_	_	_
53-8	BOI069	53	mh:	mh	mh	ADJ	_
53-9	BOI069	53	{P}	{P}	_	_	_
53-10	BOI069	53	<zone>	zone	zona	NOUN	_
53-11	BOI069	53	dove	dove	dove	ADV	_
53-12	BOI069	53	ci	ci	ci	PRON	_
53-13	BOI069	53	sono	sono	essere	VERB	_
53-14	BOI069	53	magari:::	magari	magari	ADV	_
53-15	BOI069	53	dottori	dottori	dottore	NOUN	_
53-16	BOI069	53	o::	o	o	CCONJ	_
53-17	BOI069	53	>comunque<	comunque	comunque	ADV	_
53-18	BOI069	53	pediatri,	pediatri	pediatro	NOUN	Intonation=weakly_rising
53-19	BOI069	53	ma	ma	ma	CCONJ	_
53-20	BOI069	53	non	non	non	ADV	_
53-21	BOI069	53	ha:	ha	avere	VERB	_
53-22	BOI069	53	un	un	uno	DET	_
53-23	BOI069	53	ospedale	ospedale	ospedale	NOUN	_
54-0	BOR019	54	ok	ok	ok	NOUN	_
54-1	BOR019	54	ho	ho	avere	AUX	_
